Latitude,Longitude,Type,Land Cover,Elevation,Slope,January mean temperature,January precipitation
60.5210197031926,-161.084683964,0,51,23.72763442993164,1.7347854095294868,-140.0,21.0
60.52305556,-161.0927778,1,51,25.03473281860352,2.6821243573346503,-140.0,21.0
60.9091005041993,-142.909030873,0,41,973.81396484375,16.7561922411858,-134.0,76.0
61.07861,-142.46121,1,42,454.8996887207031,5.477251124322751,-135.0,77.0
61.10247,-142.77182,1,42,481.2337036132813,4.83694841244712,-130.0,77.0
61.11389,-142.64652,1,11,366.8668823242188,2.723634105055012,-129.0,78.0
61.13315,-142.7954,1,42,457.9906311035156,2.532680107885987,-132.0,75.0
61.1493855552035,-143.284172322,0,42,861.9426879882812,3.799586002537501,-142.0,65.0
61.15377,-143.28619,1,31,866.3997192382812,2.0153232944245305,-142.0,65.0
61.178056266204,-144.331407108,0,42,604.8568115234375,11.284718039242827,-144.0,58.0
61.18542,-142.97318,1,42,513.9669189453125,1.7449353966486083,-134.0,71.0
61.20324,-142.28158,1,11,1062.0828857421875,3.016925064288787,-170.0,58.0
61.20628,-142.29061,1,11,1063.263916015625,2.4580674932264723,-170.0,58.0
61.20631,-142.96539,1,52,496.0101623535156,1.3739182999813584,-135.0,71.0
61.20634,-142.9703,1,42,503.2793884277344,2.519689568172399,-136.0,70.0
61.2082932452045,-143.691239679,0,42,858.6134643554688,4.296927032707451,-149.0,58.0
61.20911,-143.6821,1,52,840.9854736328125,8.680471425917748,-147.0,59.0
61.21087,-143.03446,1,42,516.4452514648438,1.728380425448907,-136.0,70.0
61.22406,-142.99266,1,42,520.8225708007812,0.7786853981272625,-138.0,69.0
61.23235,-143.03755,1,42,538.5226440429688,0.6148014407315312,-139.0,68.0
61.23703649,-165.5018472,1,51,3.011979103088379,0.4294969563544898,-112.0,30.0
61.23794221,-165.4870523,1,51,3.863687038421631,0.9093103070174162,-111.0,30.0
61.23874,-142.98692,1,11,457.5264892578125,5.166181952878433,-137.0,69.0
61.23910776,-165.4849681,1,51,3.112375497817993,0.4403571465810604,-111.0,30.0
61.24398,-143.93329,1,11,783.084228515625,8.939619108690618,-147.0,57.0
61.2448217472052,-143.942436851,0,42,763.1551513671875,2.702563863109006,-146.0,57.0
61.25009,-143.05306,1,90,454.000732421875,1.474748517118351,-138.0,68.0
61.25043068,-165.5019622,1,51,3.3552000522613525,0.659177326320642,-111.0,30.0
61.25489588,-165.4984854,1,95,2.958237886428833,0.2612638229468168,-111.0,30.0
61.25494704,-165.497648,1,51,3.0741684436798096,0.0380713737957808,-111.0,30.0
61.26884,-143.24834,1,42,537.693115234375,3.678627225496124,-140.0,65.0
61.31919,-142.80755,1,42,557.935546875,0.6529797354237337,-148.0,63.0
61.32873,-142.96553,1,11,470.0293273925781,5.613799001797474,-143.0,64.0
61.33428,-142.78461,1,90,501.53118896484375,2.273661191619724,-149.0,63.0
61.33473,-143.01364,1,42,453.0418090820313,6.092174850688148,-142.0,64.0
61.33651,-143.10241,1,42,461.3165283203125,1.0222911083383954,-140.0,65.0
